#,PRODUCTO,SERIAL,ACTIVO,INSERTOS Y ANILLO RETENEDOR,,,,,
234,TUBO,PCT-24-21502-10-008,PCT-PUP-0264,SI,,,,,
235,TUBO,PCT-24-21502-10-009,PCT-PUP-0265,SI,,,,,
236,TUBO,PCT-24-21502-10-010,PCT-PUP-0266,SI,,,,,
237,90,PCT-23-21502-90-001,PCT-90-053,SI,,,,,
238,90,PCT-23-21502-90-002,PCT-90-054,SI,,,,,
239,90,PCT-23-21502-90-003,PCT-90-055,SI,,,,,
240,90,PCT-23-21502-90-004,PCT-90-056,SI,,,,,
241,90,PCT-23-21502-90-005,PCT-90-057,SI,,,,,
242,90,PCT-23-21502-90-006,PCT-90-058,SI,,,,,
243,90,PCT-23-21502-90-007,PCT-90-059,SI,,,,,
244,90,PCT-23-21502-90-008,PCT-90-060,SI,,,,,
245,90,PCT-23-21502-90-009,PCT-90-061,SI,,,,,
246,90,PCT-23-21502-90-010,PCT-90-062,SI,,,,,
247,90,PCT-23-21502-90-011,PCT-90-063,SI,,,,,
248,90,PCT-23-21502-90-013,PCT-90-065,SI,,,,,
249,90,PCT-23-21502-90-014,PCT-90-066,SI,,,,,
250,90,PCT-23-21502-90-015,PCT-90-067,SI,,,,,
251,90,PCT-23-21502-90-016,PCT-90-068,SI,,,,,
252,90,PCT-23-21502-90-017,PCT-90-069,SI,,,,,
253,90,PCT-23-21502-90-018,PCT-90-070,SI,,,,,
254,90,PCT-23-21502-90-020,PCT-90-072,SI,,,,,
255,90,PCT-24-21502-90-001,PCT-90-073,SI,,,,,
256,90,PCT-24-21502-90-003,PCT-90-075,SI,,,,,
257,90,PCT-24-21502-90-006,PCT-90-078,SI,,,,,
258,90,PCT-24-21502-90-008,PCT-90-080,SI,,,,,
259,90,PCT-24-21502-90-009,PCT-90-081,SI,,,,,
260,90,PCT-24-21502-90-010,PCT-90-082,SI,,,,,
261,45,PCT-24-21502-45-001,PCT-45-043,SI,,,,,
262,45,PCT-24-21502-45-002,PCT-45-044,SI,,,,,
263,45,PCT-24-21502-45-003,PCT-45-045,SI,,,,,
264,45,PCT-24-21502-45-004,PCT-45-046,SI,,,,,
265,45,PCT-24-21502-45-005,PCT-45-047,SI,,,,,
266,45,PCT-24-21502-45-006,PCT-45-048,SI,,,,,
267,45,PCT-24-21502-45-007,PCT-45-049,SI,,,,,
268,45,PCT-24-21502-45-008,PCT-45-050,SI,,,,,
269,45,PCT-24-21502-45-009,PCT-45-051,SI,,,,,
270,45,PCT-24-21502-45-010,PCT-45-052,SI,,,,,
271,TEE 1 (HXMXM),PCT-23-21502-T1-001,PCT-TEE-013,SI,,,,,
272,TEE 1 (HXMXM),PCT-23-21502-T1-002,PCT-TEE-014,SI,,,,,
273,TEE 1 (HXMXM),PCT-23-21502-T1-003,PCT-TEE-015,SI,,,,,
274,TEE 1 (HXMXM),PCT-23-21502-T1-004,PCT-TEE-016,SI,,,,,
275,TEE 1 (HXMXM),PCT-23-21502-T1-005,PCT-TEE-017,SI,,,,,
276,TEE 1 (HXMXM),PCT-24-21502-T1-001,PCT-TEE-018,SI,,,,,
277,TEE 1 (HXMXM),PCT-24-21502-T1-002,PCT-TEE-019,SI,,,,,
278,TEE 2 (HXMXH O MXHXH),PCT-23-21502-T2-001,PCT-TEE-020,SI,,,,,
279,TEE 2 (HXMXH O MXHXH),PCT-23-21502-T2-003,PCT-TEE-022,SI,,,,,
