edo,invre_equipo,invre_serial,match_equipo_exact,match_serial_exact,match_equipo_norm,match_serial_norm,equipo_norm_hits,serial_norm_hits,suggest_norm_1,suggest_dist_1,suggest_norm_2,suggest_dist_2,suggest_norm_3,suggest_dist_3,suggest_norm_4,suggest_dist_4,suggest_norm_5,suggest_dist_5
WIP,PCT-XO-197,25322-120,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-198,25322-121,0,0,0,0,,,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-199,25322-122,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-200,25322-123,0,0,0,0,,,PCTXO20,1,PCTXO28,2,PCTXO29,2,,,,
WIP,PCT-XO-201,25322-124,0,0,0,0,,,PCTXO20,1,PCTXO28,2,PCTXO29,2,,,,
WIP,PCT-XO-202,25322-125,0,0,0,0,,,PCTXO20,1,PCTXO28,2,PCTXO29,2,,,,
WIP,PCT-XO-203,25322-126,0,0,0,0,,,PCTXO20,1,PCTXO28,2,PCTXO29,2,,,,
WIP,PCT-XO-204,25322-127,0,0,0,0,,,PCTXO20,1,PCTXO28,2,PCTXO29,2,,,,
WIP,PCT-XO-205,25322-128,0,0,0,0,,,PCTXO20,1,PCTXO28,2,PCTXO29,2,,,,
WIP,PCT-XO-206,25322-129,0,0,0,0,,,PCTXO20,1,PCTXO28,2,PCTXO29,2,,,,
WIP,PCT-XO-207,25322-130,0,0,0,0,,,PCTXO20,1,PCTXO28,2,PCTXO29,2,,,,
WIP,PCT-XO-208,25322-131,0,0,0,0,,,PCTXO20,1,PCTXO28,1,PCTXO29,2,,,,
WIP,PCT-XO-209,25322-132,0,0,0,0,,,PCTXO20,1,PCTXO29,1,PCTXO28,2,,,,
WIP,PCT-XO-210,25322-133,0,0,0,0,,,PCTXO20,1,PCTXO28,2,PCTXO29,2,,,,
WIP,PCT-XO-211,25322-134,0,0,0,0,,,PCTXO20,2,PCTXO28,2,PCTXO29,2,,,,
WIP,PCT-XO-212,25322-135,0,0,0,0,,,PCTXO20,2,PCTXO28,2,PCTXO29,2,,,,
WIP,PCT-XO-213,25322-136,0,0,0,0,,,PCTXO20,2,PCTXO28,2,PCTXO29,2,,,,
WIP,PCT-XO-214,25322-137,0,0,0,0,,,PCTXO20,2,PCTXO28,2,PCTXO29,2,,,,
WIP,PCT-XO-215,25322-138,0,0,0,0,,,PCTXO20,2,PCTXO28,2,PCTXO29,2,,,,
